LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rhclear1,"HOUSE IS CLEAR I REPEAT HOUSE IS CLEAR. WE GOT CASUALTIES. SEND IN THE MEDIC DOWN HERE NOW. OVER."
STRM_Rhclear2,"HOUSE IS CLEAR I REPEAT HOUSE IS CLEAR. OVER."
STRM_Rdidit,"I GUESS WE DID IT GUYS!"
STRM_Rdidnot,"I GUESS WE SCREWED THIS UP BIGTIME, HUH?"
STRM_Rswatready,"SPEC OPS TEAM AT THE LOCATION. READY TO ENGAGE. OVER."

STRM_Rsniperrep1,"THEY BROUGHT OUT TWO CIVILIANS FEW MINUTES AGO AND LINED UP THEM IN THE FRONT DOOR."
STRM_Rargument,"BE ADVISED IT LOOKS LIKE THE TANGOS ARE ARGUING ON SOMETHING. LEADER LOOKS NERVOUS. OVER."
STRM_Rtakeout,"I HAVE A GOOD SHOT HERE. I CAN TAKE HIM OUT CLEAN, REQUEST PERMISSION TO FIRE. OVER."
STRM_Rcopies,"HOLDING FIRE, THATS A COPY PAPA BEAR. OVER."
STRM_Rshotsfired,"SHOTS FIRED SHOTS FIRED. THE LEADER IS KILLING THE CIVILIANS!",

STRM_Rspecopsonway,"PAPA BEAR TO SNIPERS. SPEC OPS TEAM IS ENROUTE. CAN YOU REPORT THE SITUATION AT TARGET LOCATION, OVER.",hq
STRM_Rargumentcopy,"COPY THAT.",hq
STRM_Rnegative,"NEGATIVE SNIPER ONE. DO NOT FIRE I REPEAT DO NOT FIRE UNTIL CLEARED. DO YOU COPY. OVER."
STRM_Rgogogo,"GREEN LIGHT GREEN LIGHT. YOU ARE CLEARED TO FIRE. STORM THE BUILDING AND NEUTRALIZE THE TANGOS. GO GO GO!",hq
