LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rwerehere,"WE ARE OVERHERE! HURRY UP WILL YOU. NUMBER THREE IS NOT DOING SO GREAT.",alpha
STRM_Rwilldo,"GOT THAT. JUST A MOMENT WE WILL CLEAR THE TENTS OUT SO NO TRACES OF OUR PRESENCE ARE LEFT TO THE ENEMY.",alpha
STRM_Rreadytogo,"OKAY WE ARE READY TO LEAVE THIS STINKING FOREST. JUST LEAD THE WAY CHIEF.",alpha

STRM_Renemyter,"LIGHTS OUT, WEAPONS CHECK. WE ARE ENTERING TO ENEMY TERRITORY.",bravo
STRM_Renemyterout,"WE ARE SAFELY BACK IN FRIENDLY TERRITORY.",bravo
STRM_Ronmyway,"ROGER THAT CHARLIE ON MY WAY. BRAVO OUT.",bravo
STRM_Rcommitextract,"THIS IS BRAVO. READY FOR NURSERY PICKUP. GATHER UP KIDDIES, TIME TO GO HOME. BRAVO OUT.",bravo

STRM_Rjoinup,"OKAY BOYS. GET YOUR THINGS AND LETS GET OUT OF HERE.",charlie
STRM_Rextract,"CHARLIE TO BRAVO. HUNGRY YUNGSTERS NEED A RIDE HOME. OVER.",charlie
STRM_Rrussianpatrol,"GODDAMN. RUSSIAN PATROL! HURRY UP. EVERYBODY GET IN THE CHOPPER NOW! MOVE YOUR ASS! GO GO GO!",charlie
