LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rheyyou,"Hey you, we got word from HQ that the General wants to speak with you. There is chopper coming to pick you up.",sarge

STRM_Rgetready,"GET READY, WE ARE PICKING YOU UP NOW. OVER.",helo
STRM_Rletsgo,"OK LETS GO",helo
STRM_Rlanded,"WE ARE GOING TO LAND NOW. GO TO THE FRONT GATE. GENERAL IS WAITING FOR YOU THERE.",helo

STRM_Rwelcome,"Welcome private. At ease. we have good news for you, you are being promoted, congratulations!",colonel
STRM_Rproven,"You have proven your combat skills several times fighting the russians in the\nfront lines. It makes me proud to serve with you in the united states army.",colonel
STRM_Rassign,"With this promotion you get a squad of men under your command. Its great responsibility, but we believe you are ready.",colonel
STRM_Rtask,"Its your task to keep the men alive and to teach them the same skills you have achieved.",colonel
STRM_Rcongrats,"Congratulations... Sergeant!",colonel
STRM_Rattention,"attention!",colonel

