LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rletsgo,"ALPHA TO BRAVO. READY TO GO. OVER.",alpha
STRM_Raadead,"ALPHA TO PAPA BEAR. AA SITE IS HISTORY. OVER.",alpha
STRM_Rextraction,"ALPHA BLACK TO BRAVO BLACK. READY FOR EXTRACTION. OVER.",alpha
STRM_Rtakeushome,"ALPHA TO BRAVO. EVERYONE ON BOARD. READY TO GO HOME. OVER.",alpha

STRM_Rallaboard,"PAPA BEAR THIS IS BRAVO BLACK. ALPHA TEAM IS ON BOARD, PROCEEDING TO INSERT POINT. OVER.",bravo
STRM_Rinsert,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT, GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. GO GET 'EM. CALL US WHEN YOU'RE READY TO EXTRACT. OVER.",bravo
STRM_Rextonway,"ROGER ALPHA. WE ARE ON OUR WAY. OVER.",bravo
STRM_Rextract,"BRAVO BLACK TO ALPHA BLACK. GET READY FOR EXTRACTION. MOVE FAST. OVER.",bravo
STRM_Rrogerhome,"ROGER ALPHA BLACK. GOING HOME. OVER.",bravo

STRM_Rgoodjob,"GOOD JOB ALPHA BLACK. OVER.",hq
STRM_Rmcomplete,"WELCOME HOME ALPHA BLACK. GOOD WORK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Silver Obelisk",missionname
STRL_Rload,"AA Hunting",loadname
