LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS EMPTY. OVER.",alpha
STRM_Reastdead2,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE TWO HAS BEEN CAPTURED. OVER.",alpha
STRM_Reastdead3,"ALPHA BLACK TO PAPA BEAR. NEVEKLOV IS UNDER OUR CONTROL. SEND IN THE REINFORCEMENTS. OVER.",alpha

STRM_Rbravohere,"BRAVO BLACK TO PAPA BEAR. WE HAVE ARRIVED TO NEVEKLOV. OVER.",hq

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. UNDERSTOOD. PROCEED WITH THE PLAN. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. COPY THAT. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. ROGER. REINFORCEMENTS ON THEIR WAY. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO BRAVO BLACK. SET UP DEFENSIVE PERIMETER. ALPHA YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Distant Glow",missionname
STRL_Rload,"Neveklov parties",loadname
