LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. CONVOY HAS BEEN DESTROYED. OVER.",alpha
STRM_Rbravogo,"ALPHA TO BRAVO. YOU ARE CLEARED TO ENGAGE THE CONVOY. OVER.",alpha

STRM_Rbonway,"THIS IS BRAVO. ON OUR WAY. LEAVE US SOME TARGETS PLEASE. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. ROGER THAT GOOD WORK. RETURN TO BASE. OVER.",hq

STRD_Rmissname,"Steel Convoy",missionname
STRL_Rload,"Stop the contoy",loadname
