LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ralphaready,"PAPA BEAR THIS IS ALPHA BLACK. WE ARE IN POSITION. ALPHA AND BRAVO IS GOOD TO GO. ALPHA OUT.",alpha
STRM_Rcastleclear,"PAPA BEAR THIS IS ALPHA BLACK. CASTLE HAVE BEEN CLEARED, I REPEAT CASTLE HAVE BEEN CLEARED. OVER.",alpha
STRM_Rconvoygoahead,"ALPHA TO FOXTROT. PROCEED TO THE TARGET AREA. OVER.",alpha
STRM_Rrequestcas,"PAPA BEAR THIS IS ALPHA BLACK. ENCOUNTERING HEAVY COUNTER ATTACKS, INCLUDING ARMORED VEHICLES. REQUESTING CLOSE AIR SUPPORT. OVER.",alpha

STRM_Rechoready,"ECHO BLACK TO PAPA BEAR. WE ARE IN AMBUSH POSITION, ROAD IS MINED. WE ARE READY. ECHO BLACK OUT.",echo

STRM_Rfoxtrotready,"FOXTROT BLACK TO PAPA BEAR. CONVOY IS IN POSITION AND READY TO BEGIN. OVER.",foxtrot
STRM_Rconvoyonway,"ROGER ALPHA. WE ARE ON OUR WAY. SEE YOU SOON. FOXTROT OUT.",foxtrot
STRM_Rstuck,"FOXTROT TO ALPHA BLACK. WE ARE STUCK IN THE HARSH TERRAIN! CANNOT MOVE, SORRY CANT MAKE IT THERE IN TIME. I LET YOU KNOW WHEN WE GET OUT OF THIS MESS. FOXTROT OUT.",foxtrot
STRM_Rfreed,"ALPHA THIS IS FOXTROT. GOOD NEWS, WE ARE MOVING AGAIN. TARGET AREA ETA TWO MINUTES. OVER.",foxtrot

STRM_Rhqechook,"COPY ECHO. OVER.",hq
STRM_Rhqalphaok,"ROGER ALPHA. OVER.",hq
STRM_Rhqfoxtrotok,"ACKNOWLEDGED FOXTROT. OVER.",hq
STRM_Rkingdom,"KINGDOM",hq
STRM_Rcastleok,"ROGER ALPHA, GOOD WORK. SECURE THE AREA AND RADIO THE CONVOY WHEN YOU FEEL ITS SAFE. PAPA BEAR OUT.",hq
STRM_Rhqcas1,"ROGER THAT ALPHA. WE DONT HAVE ANY AVAILABLE AIRCRAFTS TO DISPATCH AT YOUR LOCATION. WE WILL TRY TO FIND SOMETHING. HOLD TIGHT. PAPA BEAR OUT.",hq
STRM_Rhqcas2,"ALPHA BLACK THIS IS PAPA BEAR. GOOD NEWS, YOUR CLOSE AIR SUPPORT IS ON ITS WAY. JUST FEW MINUTES. GOOD LUCK. PAPA BEAR OUT.",hq
