LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS SECURED, SEND IN THE BACKUP. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO CLEAR. SEND IN THE REINFORCEMENTS. OVER.",alpha

STRM_Rattacking,"THIS IS BRAVO. ATTACKING OBJECTIVE TWO. OVER.",bravo

STRM_Rm1onloc,"CHARLIE BLACK TO ALPHA BLACK. YOU ARE CLEARED TO PROCEED. WE TAKE OVER HERE. OVER.",charlie
STRM_Rm2onloc,"DELTA BLACK TO PAPA BEAR. WE ARE AT THE OBJECTIVE. OVER.",delta

STRM_Rsending,"PAPA BEAR TO ALPHA BLACK. ROGER. HOLD YOU POSITION UNTIL THEY ARRIVE. OVER.",hq
STRM_R2ndbackup,"PAPA BEAR TO ALPHA. SENDING BACKUP TO YOUR LOCATION. STAY PUT. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. MISSION OBJECTIVES ARE MET. GOOD JOB. OVER.",hq

STRD_Rmissname,"Hounds",missionname
STRL_Rload,"Hunting Russians on the high roads",loadname
