LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcomplete,"ALPHA BLACK REPORTING BACK TO BASE. MISSION ACCOMPLISHED. ALPHA OUT.",alpha
STRM_Rdirecthit,"CIRCULAR ERROR PROBABILITY ZERO. IMPACT WITH HIGH-ORDER DETONATION. HAVE A NICE DAY.",alpha
STRM_Riknow,"ALPHA BLACK TO PAPA BEAR. DO YOU COPY. OVER.",alpha
STRM_Rfoundit,"WE HAVE FOUND THE CAMP. OVER.",alpha
STRM_Rexplain,"WE ARE LOOKING APPROXIMATELY TWO SQUADS OF SPEZ NATZ OPERATIVES, TWO VEHICLES AND SOME TENTS. LOOKS LIKE THE REAL DEAL. OVER.",alpha
STRM_Racknowledged,"ALPHA ACKNOWLEDGES. CONTACTING BRAVO. ALPHA OUT.",alpha
STRM_Rhelloa10,"ALPHA BLACK TO BRAVO BLACK. COME IN BRAVO. OVER.",alpha
STRM_Rbravostat,"THATS A ROG. FEEDING YOU THE COORDINATES NOW. CONFIRM. OVER";

STRM_Rrogeralpha,"ALPHA THIS IS BRAVO. READING 5 BY 5. DO WE HAVE A GIG. OVER.",bravo
STRM_Rkilleronway,"ROGER ALPHA BLACK. COORDINATES RECEIVED, WEAPONS ARE HOT. ENGAGING. ETA 2 MINUTES. OVER.",bravo
STRM_Rbombsaway,"BOMBS AWAY! BOMBS AWAY!",bravo

STRM_Rhqgoahead,"ALPHA THIS IS PAPA BEAR. LOUD AND CLEAR, GO AHEAD ALPHA. OVER.",hq
STRM_Rhqfoundconfirm,"WHAT DO YOU GOT ALPHA BLACK. OVER.",hq
STRM_Rhqwait,"STAND BY. OVER.",hq
STRM_Rhqcalljet,"ALPHA YOU ARE TO CONTACT BRAVO BLACK AND GUIDE HIM TO TARGET. ACKNOWLEDGE. OVER.",hq
