LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rfoundcivis,"ALPHA BLACK TO PAPA BEAR. WE HAVE LOCATED THE CIVILIANS. OVER.",alpha
STRM_Rbhd,"ALPHA TO PAPA BEAR. BLACK HAWK DOWN. I REPEAT WE HAVE A BLACK HAWK DOWN. OVER.",alpha
STRM_Rcsitecopy,"ALPHA COPIES. PROCEEDING INTO THE CRASH SITE. STAND BY. OVER.",alpha
STRM_Ratcsite,"ALPHA TO PAPA BEAR. WE ARE AT THE BLACK HAWK CRASH SITE. OVER.",alpha
STRM_Rfoundthem,"ALPHA TO PAPA BEAR. WE HAVE LOCATED THE CREW. BOTH OF THEM ARE ALIVE BUT WOUNDED. OVER.",alpha
STRM_Rsecuring,"ALPHA TO PAPA BEAR. ROGER THAT WE WILL SECURE THE CRASH SITE. ALPHA OUT.",alpha
STRM_Rsecureforsar,"ALPHA BLACK TO PAPA BEAR. THE AREA IS SECURE ENOUGH FOR SAR PACKAGE. OVER.",alpha
STRM_Rsarcopysure,"ALPHA BLACK CONFIRMS. THE AREA IS SECURE FOR SAR PACKAGE. SEND THEM IN. OVER.",alpha

STRM_Rinsert,"GET READY ALPHA. LANDING ZONE IN SIGHT. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. WE BE ORBITING OVERHEAD. RADIO US WHEN YOU ARE READY. OVER.",bravo

STRM_Rextract,"THIS IS ECHO BLACK. EVERYBODY GET READY FOR EXTRACTION. OVER.",echo
STRM_Rdustoff,"LIFTOFF. WE ARE GOING HOME BOYS. ECHO OUT.",echo

STRM_Rdontshoot,"ALPHA BLACK THIS IS CHARLIE BLACK. WE ARE APPROACHING THE CRASH SITE. DO NOT FIRE UPON US. OVER.",charlie
STRM_Rsaronlocation,"CHARLIE BLACK IS ON THE CRASH SITE. OVER.",charlie
STRM_Rsardone,"CHARLIE BLACK TO PAPA BEAR. WE ARE DONE HERE. OVER.",charlie
STRM_Rcharges,"THIS IS CHARLIE BLACK SEVEN. CHARGES ARE SET. BLACK HAWK IS RIGGED TO BLOW. OVER.",charlie7

STRM_Rgotocsite,"PAPA BEAR TO ALPHA BLACK. COPY. GET INTO THE CRASH SITE AS FAST AS YOU CAN. REPORT BACK WHEN YOU ARE THERE. OVER.",hq
STRM_Rfindcrew,"PAPA BEAR TO ALPHA. YOU MUST LOCATE THE HELO CREW. OVER.",hq
STRM_Rsecurecsite,"GOOD WORK ALPHA. GET THEM TO YOUR SQUAD AND SECURE THE CRASH SITE UNTIL WE GET SAR PACKAGE TO YOU. I'LL BE IN TOUCH. PAPA BEAR OUT.",hq
STRM_Rsarready,"PAPA BEAR TO ALPHA BLACK. SAR PACKAGE IS READY. CALL US ON RADIO WHEN AREA IS SECURE. OVER.",hq
STRM_Rsarsure,"PAPA BEAR TO ALPHA. ARE YOU SURE. YOU NEED TO BE SURE. CONFIRM OVER.",hq
STRM_Rsaronway,"PAPA BEAR TO ALPHA. COPY. SAR PACKAGE CALLSIGN CHARLIE BLACK IS ON THEIR WAY. HOLD TIGHT. OVER.",hq
STRM_Rextractioncoming,"PAPA BEAR TO ALL FORCES. EXTRACTION CHINOOK IS ON THEIR WAY. GET TO THE TARGET AREA AND PREPARE FOR EXTRACTION. ALPHA GO GET THE CIVILIANS. OVER.",hq
STRM_Rwelcome,"PAPA BEAR TO ALL FORCES. WELCOME HOME. OVER.",hq

STRD_Rmissname,"Op Liberty",missionname
STRL_Rload,"Evacuate some civilians",loadname
