LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Ralphafound,"THIS IS ALPHA. I HAVE LOCATED THE SNIPER. ENGAGING. OVER.",alpha
STRM_Rsnipadead,"ALPHA BLACK TO PAPA BEAR. ENEMY SNIPER TEAM IS ELIMINATED. OVER.",alpha

STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR PICK UP. OVER.",bravo
STRM_Rinsert,"LZ IN SIGHT. GET READY PEOPLE. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK. GO GET SOME SNIPERS. BRAVO OUT.",bravo

STRM_Rah1found,"THIS IS CHARLIE. I HAVE LOCATED THE SNIPERS. ENGAGING. OVER.",charlie

STRM_Ra2found,"THIS IS DELTA. WE HAVE FOUND THE SNIPER TEAM. ENGAGING! OVER.",delta

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. COPY. RETURN TO BASE. OVER.",hq

STRD_Rmissname,"Red Sniper",missionname
STRL_Rload,"Hunt down that bastard",loadname
