LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rletsgo,"ALPHA TO BRAVO. LETS START OUR MISSION. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE MOUNTAIN TOP. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. THERE ARE NO MORE RUSSIANS LEFT. ALPHA OUT.",alpha

STRM_Rextract,"CHARLIE TO ALPHA. GET READY FOR PICK UP. OVER.",charlie
STRM_Rinsert,"CHARLIE TO ALPHA. GET READY FOR INSERTION. OVER.",charlie
STRM_Rgoodluck,"CHARLIE TO ALPHA. GOOD LUCK WITH YOUR MISSION. OVER.",charlie

STRM_Rproceed,"PAPA BEAR TO ALPHA BLACK. ROGER THAT GOOD WORK. NOW CONTINUE CLEANING REST OF THE MOUNTAIN. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. GOOD JOB EVERYONE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Proud Bat",missionname
STRL_Rload,"Assaulting is the way to go",loadname
