LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE CLEARED THE TOWN. OVER.",alpha
STRM_Rcivis,"ROGER PAPA BEAR. GETTING THE CIVILIANS INTO EXTRACT POINT NOW. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. COME TO PICK US UP. OVER.",alpha

STRM_Rinsert,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT. PREPARE FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK. WE WILL WAIT FOR YOUR RADIO CALL. OVER.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. GET THE CIVILIANS INTO EXTRACT LZ. OVER.",hq

STRD_Rmissname,"Blue Relief",missionname
STRL_Rload,"Get those civilians to safety",loadname
