LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallass,"ALPHA BLACK TO BRAVO BLACK. MOVE IN. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. FARMHOUSES CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE CAPTURED VIDLAKOV. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. GOOD WORK EVERYONE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Sharp Force",missionname
STRL_Rload,"Go for Vidlakov",loadname
