LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE ONE IS SECURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. SECOND OBJECTIVE IS SECURED. OVER.",alpha
STRM_Rhqdoyoucopy,"THIS IS ALPHA BLACK TO PAPA BEAR. DO YOU COPY. OVER.",alpha
STRM_Rhqanswerdamn,"ALPHA BLACK CALLING PAPA BEAR. DO YOU COPY. RADIO CHECK. OVER.",alpha
STRM_Rassaultisgo,"ALPHA BLACK TO ALL FORCES. GO GO GO. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. OBJECTIVE THREE IS SECURED. OVER.",alpha
STRM_Reastdead4,"ALPHA BLACK TO PAPA BEAR. OBJECTIVE FOUR IS CLEAN CLEAR AND NAKED. OVER.",alpha

STRM_Raa1copy,"ROGER THAT PAPA BEAR. ON OUR WAY. DELTA OUT.",delta
STRM_Raa1arrived,"DELTA TO PAPA BEAR. ON THE LOCATION. WEAPONS ARE HOT. SCANNING FOR AIR TARGETS. OVER.",delta

STRM_Raatwocopy,"ECHO BLACK TO PAPA BEAR. COPY. MOVING INTO POSITIONS. OVER.",echo
STRM_Raa2arrived,"ECHO TO PAPA BEAR. IN POSITIONS LOOKING FOR TARGETS. OVER.",echo

STRM_Rrogergolden,"FOXTROT BLACK TO PAPA BEAR. COPY. OVER.",foxtrot
STRM_Rrearming,"FOXTROT BLACK TO PAPA BEAR. OUT OF AMMO, RTB FOR REARMING. OVER.",foxtrot
STRM_Rrearmed,"FOXTROT TO PAPA BEAR. REARMED AND HEADING BACK TO THE TARGET AREA. OVER.",foxtrot

STRM_Rammoavail,"AMMO TRUCK HAS ARRIVED, PLACE MARKED ON THE MAP. OVER.",ammotrk

STRM_Rcopyone,"COPY THAT ALPHA BLACK. HOLD TIGHT I AM SENDING THE VULCANS. OVER.",hq
STRM_Raa1call,"PAPA BEAR TO DELTA BLACK. YOU ARE CLEARED TO PROCEED INTO POSITIONS. OVER.",hq
STRM_Ralphasorry,"THIS IS PAPA BEAR. RECEIVING NOW. ALPHA BLACK, REPEAT YOUR LAST TRANSMISSION. OVER.",hq
STRM_Rcopyaatwo,"PAPA BEAR COPIES. OBJECTIVE TWO IS SECURE. SENDING VULCANS. HOLD TIGHT. OVER.",hq
STRM_Rcallvulcantwo,"PAPA BEAR TO ECHO BLACK. OBJECTIVE IS SECURE. PROCEED INTO POSITIONS. OVER.",hq
STRM_Ralpha1go,"PAPA BEAR TO ALPHA BLACK. PROCEED TO OBJECTIVE TWO. OVER.",hq
STRM_Rsgunships,"HOLD TIGHT ALPHA. WERE SENDING GUNSHIPS TO SOFTEN UP OBJECTIVE THREE SECTOR. OVER.",hq
STRM_Rgoldencanyon,"PAPA BEAR TO FOXTROT BLACK. GOLDEN CANYON. I REPEAT GOLDEN CANYON. OVER.",hq
STRM_Rgoalpha,"ALPHA BLACK. WHEN GUNSHIPS HAVE ARRIVED. PROCEED AS PLANNED. OVER.",hq
STRM_Rrogerobj3,"PAPA BEAR COPIES OBJECTIVE THREE SECURE. OVER.",hq
STRM_Rrogerobj4,"COPY THAT. GOOD JOB ALPHA BLACK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Golden Canyon",missionname
STRL_Rload,"Fight for Fuel!",loadname
