LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. I THINK THATS THE LAST OF THEM. COUNTER ATTACK REPELLED. OVER.",alpha

STRM_Rhelo1gobase,"THIS IS HELO. WE ARE OUT OF AMMO. RETURNING TO BASE FOR REARMING. OVER.",who
STRM_Rhelo1armed,"HELO REPORTING. REARMED AND RETURNING TO THE BATTLE. OVER.",who
STRM_Rhelo2gobase,"THIS IS HELO 2. OUT OF AMMO, GOING TO PICK UP SOME MORE. OVER.",who
STRM_Rhelo2armed,"HELO 2 TO ALPHA. DONE REARMING. HEADING BACK TO YOU GUYS. OVER.",who

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. EXCELLENT WORK MEN. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Eternal Star",missionname
STRL_Rload,"At guard post",loadname
