LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rtarget1,"ALPHA BLACK TO PAPA BEAR. WE ARE NEAR THE TARGET LOCATION. OVER.",alpha
STRM_Rextract,"ALPHA TO PAPA BEAR. WE ARE READY FOR EXRACTION. OVER.",alpha

STRM_Rdustoff,"DUSTOFF. GOING HOME. OVER.",charlie?

STRM_Rgotoext,"PAPA BEAR TO ALPHA BLACK. COPY. PROCEED WITH THE PLAN. OVER.",hq
STRM_Rmcomplete,"THIS IS PAPA BEAR. WELCOME HOME GUYS. OVER.",hq

STRD_Rmissname,"Rapid Hope",missionname
STRL_Rload,"At the Airbase",loadname
