LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE NEUTRALIZED THE OBJECTIVE. OVER.",alpha
STRM_Rcallext,"ALPHA TO BRAVO. PROCEED WITH THE EXTRACTION. OVER.",alpha

STRM_Rinsert,"LANDING ZONE IN SIGHT. GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. GO GET THEM. WE WILL BE ON ORBIT STATION, CALL US WHEN DONE. OVER.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. MOVE QUICKLY. OVER.",bravo

STRM_Rneucopy,"PAPA BEAR TO ALPHA BLACK. COPY THAT. GET OUT OF THERE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. WELCOME BACK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Safari Fox",missionname
STRL_Rload,"Assault on Blata",loadname
