LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE SEIZED THE INTERSECTION. OVER.",alpha
STRM_Rbravo,"ALPHA TO PAPA BEAR. WE HAVE NOW REACHED BRAVOS POSITION. OVER.",alpha

STRM_Rtanksready,"ALPHA THIS IS CHARLIE. WE ARE RIGHT BEHIND YOU. TRY TO CLEAR OUT ANY AT TEAMS FOR US WILL YOU. OVER.",charlie

STRM_Rmeetb,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. CHARLIE WILL SECURE THE OBJECTIVE. PROCEED TO THE BRAVOS POSITIONS. STAY SHARP. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD WORK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Blue Sword",missionname
STRL_Rload,"Clear these roads",loadname
