LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. FUEL STATION CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. INTERSECTION IS CAPTURED. SEND IN BACKUP. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. MIROV HAS BEEN CAPTURED. OVER.",alpha

STRM_Rhere,"BRAVO BLACK TO ALPHA BLACK. OK WE ARE HERE TO COVER YOUR BACK. YOU ARE CLEARED TO PROCEED. GOOD LUCK. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER. PROCEED WITH THE PLAN. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. COPY THAT. HOLD TIGHT UNTIL SUPPORT ARRIVES. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. GOOD JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Steel Uniform",missionname
STRL_Rload,"Take Mirov!",loadname
