LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rready,"ALPHA BLACK TO PAPA BEAR. WE ARE READY TO BEGIN OUR ASSAULT. WAITING FOR THE CODE WORD. OVER.",alpha
STRM_Rstandby,"ALPHA STANDING BY. OVER.",alpha
STRM_Roffair,"THATS NEGATIVE BRAVO. STAY OFF THE AIR UNTIL WE HEAR FROM HQ. OVER.",alpha
STRM_Rgoodtogo,"BE ADVISED PAPA BEAR THAT WE ARE GOOD TO GO. PLEASE CONFIRM YOUR ORDERS. OVER.",alpha
STRM_Rokabort,"COPY THAT PAPA BEAR. MISSION IS ABORTED, I REPEAT ABORTING MISSION. HEADING BACK TO HOME. ALPHA OUT.",
STRM_Rwaiting,"PAPA BEAR WE ARE AT THE BASE AND WAITING FOR FURTHER ORDERS. OVER.",alpha
STRM_Rroger,"ROGER PAPA BEAR. ON OUR WAY. ALPHA OUT.",alpha
STRM_Rbravo,"ALPHA TO BRAVO. WHEN WE GET TO THE AIRBASE, YOU PROCEED AND CLEAR THE AIRBASE HANGAR BUILDINGS. WE WILL COVER THE SURROUNDING AREA. OVER.",alpha
STRM_Rsharp,"STAY SHARP BRAVO. WE HAVE NO IDEA WHERE WE ARE WALKING INTO. ALPHA OUT.",alpha
STRM_Rexplosion,"ALPHA BLACK TO PAPA BEAR. WE HAD AN EXPLOSION IN THE AIRBASE. I REPEAT WE HAD SEVERE EXPLOSION IN THE AIRBASE. SEVERAL AIRCRAFTS DESTROYED. OVER.",alpha
STRM_Rheybravo,"KEEP IT TOGETHER BRAVO. FOCUS ON SWEEPING THE CENTER OF AIRBASE. SEE IF THERE ARE ANY WOUNDED YOU CAN HELP. OVER.",alpha
STRM_Rroger2,"ROGER THAT PAPA BEAR. ALPHA BLACK OUT.",alpha
STRM_Rcasualty,"ALPHA TO PAPA BEAR. WE HAVE MULTIPLE CASUALTIES HERE. REQUESTING ADDITIONAL BACKUP TO SECURE THE AIRBASE AND MEDICAL ASSISTANCE. OVER.",alpha
STRM_Rhqeastdead,"ALPHA TO PAPA BEAR. SEEMS THAT ALL THE RUSSIANS ARE DEAD. OVER.",alpha

STRM_Rrogeralpa,"ROGER THAT ALPHA. BRAVO COVERS AIRBASE HANGARS. BRAVO OUT.",bravo
STRM_Rwhatsup,"ALPHA THIS IS BRAVO. ANY IDEA WHATS GOING ON. OVER.",bravo
STRM_Rohgod,"OH MY GOD...",bravo
STRM_Rgoddamn,"GODDAMN ALPHA. THIS IS JUST HORRIBLE...",bravo

STRM_Rhelo1knows,"THIS IS CHARLIE BLACK. WE HAVE UNKNOWN BOAT ON NORTH-EAST FROM THE BASE. OVER.",charlie
STRM_Rhelo1confirm,"CONFIRMED. SPEZ NATZ LANDING BOAT IN THE BEACH. BE ADVICED, WE HAVE A SPEZ NATZ CONFIRMED ON THE AIRBASE. CHARLIE OUT.",charlie
STRM_Rhelo2knows,"THIS IS DELTA BLACK. WE HAVE UNKNOWN BOAT ON NORTH-EAST FROM THE BASE. OVER.",delta
STRM_Rhelo2confirm,"CONFIRMED. SPEZ NATZ LANDING BOAT IN THE BEACH. BE ADVICED, WE HAVE A SPEZ NATZ CONFIRMED ON THE AIRBASE. DELTA OUT.",delta

STRM_Rhqattack,"ALL FORCES BE ADVICED. WE HAVE ENEMY ENGAGEMENTS ON MORTON AND WE HAVE LOST CONTACT TO THE AIRBASE.",hq
STRM_Rhqairbase,"ALPHA BLACK PROCEED IMMEDIATELY TO THE AIRBASE IN THE NORTH AND ESTABLISH WHY THERE IS NO REPLY FROM RADIO COMMS. USE CAUTION WE DO NOT KNOW WHAT TO EXPECT. PAPA BEAR OUT.",hq
STRM_Rhqsitrep,"WE HAVE SITUATION DEVELOPING. STAND BY ALPHA.",hq
STRM_Rhqabort,"PAPA BEAR TO ALPHA BLACK. ABORT ABORT ABORT. I REPEAT ABORT THE MISSION. OVER.",hq
STRM_Rhqabortim,"ABORT YOUR MISSION IMMEDIATELY ALPHA BLACK. HEAD BACK TO BASE AND WAIT FOR FURTHER ORDERS. PAPA BEAR OUT.",hq
STRM_Rhqreinf,"WE ARE TRYING TO ROUTE REINFORCEMENTS TO THE AIRBASE. YOUR ORDERS ARE TO SECURE THE AIRBASE. CLEAR OUT THE BEACH, SPEZ NATZ BOAT WAS LOCATED THERE. GOOD LUCK ALPHA BLACK. PAPA BEAR OUT.",hq
STRM_Rhqspez,"SPEZ NATZ ARE DEAD, AIRBASE IS SECURE. OVER.",hq
STRM_Rcomplete,"PAPA BEAR TO ALPHA BLACK. AIRBASE SECURED. MISSION COMPLETED. PAPA BEAR OUT.",hq
