LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. EYES SHUT. I REPEAT, EYES SHUT. OVER.",alpha
STRM_Rcallext,"ALPHA BLACK TO BRAVO BLACK. READY FOR EXTRACTION. OVER.",alpha

STRM_Rinsert,"BRAVO TO ALPHA. LANDING ZONE IN SIGHT. GET READY FOR INSERTION. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. CALL US WHEN YOURE DONE. BRAVO OUT.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo
STRM_Rcoming,"UNDERSOOD. BRAVO ON WAY. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY EYES SHUT. OVER.",hq
STRM_Rwelcomeh,"PAPA BEAR TO ALPHA. WELCOME HOME SOLDIERS. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Anatolis Eyes",missionname
STRL_Rload,"Destroy a radar site",loadname
