LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE RUINS. OVER.",alpha

STRM_Rbravohere,"BRAVO BLACK TO PAPA BEAR. ON THE LOCATION. OVER.",hq

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY. HOLD IT UNTIL WE SEND YOU SOME BACKUP. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Silent Python",missionname
STRL_Rload,"Ruins ruined the day",loadname
