LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcall1,"ALPHA BLACK TO DELTA BLACK. DO YOU COPY. OVER.",alpha
STRM_Rcall2,"ALPHA BLACK TO DELTA BLACK. DO YOU RECEIVE. PLEASE RESPOND. OVER.",alpha
STRM_Rcall3,"ALPHA TO DELTA. IF YOU CANNOT TALK. DOUBLE CLICK ON THE RADIO TRANSMIT. OVER.",alpha
STRM_Rcallext,"ALPHA BLACK TO BRAVO BLACK. READY FOR EXTRACTION. OVER.",alpha
STRM_Rcallhq,"ALPHA BLACK TO PAPA BEAR. WE HAVE NEW EXTRACTION ZONE FOR THE HELO. OVER.",alpha
STRM_Rnewgrid,"NEW GOORDINATES AS FOLLOW: HOTEL INDIA ONE SEVEN. THATS HOTEL INDIA ONE SEVEN. DO YOU COPY. OVER.",alpha

STRM_Rhearyou,"DELTA BLACK TO ALPHA BLACK. COPY WE HEAR YOU. CEASE RADIO TRANSMISSIONS AND REMAIN WHERE YOU ARE. DELTA OUT.",delta

STRM_Rpickup,"BRAVO BLACK TO ALPHA BLACK. READY TO PICK UP. OVER.",bravo
STRM_Rinsert,"LANDING ZONE IN SIGHT. GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA. CALL US WHEN YOU ARE READY TO DEPART. OVER.",bravo
STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rgoahead,"PAPA BEAR TO ALPHA BLACK. GO AHEAD AND SEND ME THE NEW LOCATION. OVER.",hq
STRM_Rcopyhi17,"PAPA BEAR TO ALPHA. COPY HOTEL INDIA ONE SEVEN. ROGER THAT. I'LL NOTIFY THE HELO. GET GOING. OVER.",hq
STRM_Rwelcome,"PAPA BEAR TO ALPHA BLACK. WELCOME HOME. OVER.",hq

STRD_Rmissname,"Black Cover",missionname
STRL_Rload,"Black",loadname
