LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. BASE IS CAPTURED. I REPEAT BASE HAVE BEEN CAPTURED. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. ENEMY REINFORCEMENTS HAVE BEEN REPELLED. OVER.",alpha

STRM_Rinbound,"THIS IS CHARLIE BLACK. COPY. ON OUR WAY ETA ONE MINUTE. OVER.",whoever
STRM_Rhelo2done,"CHARLIE TO ECHO. OUR TROOPS ARE IN. GET GOING. I BUY YOU BEERS IF YOU DO THIS FASTER THAN ME. OVER.",charlie

STRM_Rdelinbound,"COPY CHARLIE. ECHO BLACK IS INBOUND AND READY FOR SOME BEERS LATERON. OVER.",echo
STRM_Rdropoff,"ECHO TO CHARLIE. TROOPS ARE OFF. HEADING BACK TO BASE. HEY CHARLIE, THE BEERS ARE ON YOU HEHE. OVER.",echo

STRM_Rass2inpos,"BRAVO BLACK TO PAPA BEAR. WE ARE AT THE BASE. OVER.",bravo

STRM_Rass3inpos,"DELTA BLACK TO PAPA BEAR. IN POSITION. OVER.",delta

STRM_Rsending,"PAPA BEAR TO ALPHA BLACK. THATS A COPY. KEEP IT SECURE WE WILL SEND IN THE HELOS. OVER.",hq
STRM_Rgohelo,"PAPA BEAR TO CHARLIE BLACK. YOU ARE CLEARED TO PROCEED. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. GOOD JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Little Prince",missionname
STRL_Rload,"High up on those mountains.",loadname
