LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. FIRST MOUNTAIN TOP SEIZED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. SECOND OBJECTIVE CAPTURED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. I'M GLAD TO ANNOUNCE THAT THE HIGHEST POINT IN NOGOVA IS UNDER OUR CONTROL. OVER.",alpha

STRM_Rhqcopy1,"PAPA BEAR TO ALPHA BLACK. ROGER. PROCEED. OVER.",hq
STRM_Rhqcopy2,"PAPA BEAR TO BLACK. COPY THAT. TAKE THE FINAL MOUNTAIN. OVER.",hq
STRM_Rhqcopy3,"PAPA BEAR TO BLACK. EXCELLENT WORK. YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRM_Rinsert,"LANDING ZONE IN SIGHT. GET READY. OVER.",bravo
STRM_Rgoodluck,"GOOD LUCK ALPHA BLACK. OVER.",bravo

STRD_Rmissname,"High Stakes",missionname
STRL_Rload,"Mountains",loadname
