LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. LOOKS FINE HERE. BULK OF THE RUSSIAN ARMOR IS WASTED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. WE HAVE CAPTURED THE OBJECTIVE TWO TOWN. OVER.",alpha
STRM_Rcalltanks,"ALPHA TO BRAVO. PROCEED WITH YOUR ASSAULT. OVER.",alpha

STRM_Rcoming,"BRAVO TO ALPHA. ROGER THAT, ON OUR WAY. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY GOOD WORK. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Nogova New Year",missionname
STRL_Rload,"Happy New Year!",loadname
