LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Rroadblock,"ALPHA REPORTING. THE ROAD BLOCK IS CLEARED. SEND US THE ENGINEERS TO CLEAR THIS PLACE UP. ALPHA OUT.",alpha
STRM_Raengineer,"ENGINEERS ARE HERE. WE CONTINUE TO THE HILL. ALPHA OUT.",alpha
STRM_Rhillclear,"ALPHA TO PAPABEAR. THE HILL IS CLEARED. WE GOT THE HILL. OVER.",alpha
STRM_Rsniper,"PAPABEAR THIS IS ALPHA. WE GOT ENEMY SNIPER ON THE HILL SOUTH FROM OUT POSIT. I REPEAT ENEMY SNIPER SIGHTED DUE SOUTH. TAKING CASUALTIES, REQUESTING IMMEDIATE ASSISTANCE. OVER.",alpha
STRM_Reastdead,"THIS IS ALPHA. SEEMS THAT WE HAVE WIPED OUT THE RUSSIANS FROM THIS HILL. OVER.",alpha
STRM_Rtarget,"ROGER CHARLIE. YOUR TARGET IS THE SOUTH-WEST FOREST EDGE OF GAMMA HOTEL SIX SIX, I REPEAT GAMMA HOTEL SIX SIX. TARGET IS ABOUT 20 METERS WEST FROM THE FOREST EDGE. NO FRIENDLIES IN THAT HILL. YOU ARE FREE TO ENGAGE. ALPHA OUT.",alpha
STRM_Rtargetyesyes,"ALPHA BLACK CONFIRMS YOUR ORDNANCE IS DUMB BOMBS. JUST DROP EVERYTHING YOU GOT. OVER.",hehe
STRM_Rsnipercele,"FUCKING AWESOME JOB CHARLIE BLACK. REMIND ME TO BUY YOU GUYS A BEER LATERON. ALPHA OUT.",alpha

STRM_Rhqroad,"PAPABEAR TO ALPHA. GOOD WORK, SECURE THE AREA AND WAIT FOR THE ENGINEERS. OVER.",hqreply
STRM_Rhqroger,"ROGER ALPHA. RADIO IN WHEN THE HILL IS SECURE. OVER.",hqreply2
STRM_Rhqhill,"GOOD JOB ALPHA.",hqreply3
STRM_Rsendingair,"ROGER ALPHA. WE ARE DISPATCHING AIR SUPPORT TO YOUR LOCATION. KEEP LOW AND OUT OF SIGHT. PAPABEAR OUT.",hqreply4
STRM_Rcomplete,"GOOD WORK ALPHA. WE KNOWLEDGE YOU HAVE CLEANED THE HILL. PAPABEAR OUT.",hqreplys

STRM_Rwhereishe,"ALPHA BLACK THIS IS CHARLIE. REQUESTING FURTHER TARGET COORDINATES. OVER.",charlie
STRM_Rtargetconfirm,"BE NOTICED THAT OUR ORDNANCE IS 2000LBS DUMB BOMBS. THE TARGET IS DANGER CLOSE. I REPEAT MAKE SURE YOU UNDERSTAND OUR ORDNANCE IS DUMB BOMBS. PLEASE CONFIRM ALPHA BLACK. OVER.",hehehehe
STRM_Rwasting,"COPY ALPHA. ENGAGING, HOLD TIGHT. CHARLIE OUT.",charlie
STRM_Rbombsaway,"BOMBS AWAY!",charlie
STRM_Rcharlielol,"HEHE YOU CAN COUNT ON THAT ALPHA BLACK. CHARLIE OUT.",charlie
