LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. FUEL STATION HAVE BEEN CLEARED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. SOUTH EAST HOUSES CLEARED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. NORTH EAST HOUSES CLEARED. OVER.",alpha
STRM_Reastdead4,"ALPHA TO PAPA BEAR. PETROVICE HAVE BEEN CAPTURED I REPEAT PETROVICE HAVE BEEN CAPTURED. ALPHA OUT.",alpha
STRM_Rcallass,"ALPHA BLACK TO ALL FORCES. MOVE IN. GO GO GO. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. UNDERSTOOD, PROCEED. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. COPY. INITIATE THE ASSAULT BY RADIO WHEN YOU ARE READY. OVER.",hq
STRM_Rhqreply4,"PAPA BEAR TO ALPHA. GREAT JOB EVERONE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Cosmopolitan Order",missionname
STRL_Rload,"Assault to Petrovice",loadname
