LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallgunship,"ALPHA BLACK TO BRAVO BLACK. WE NEED SOME AIR SUPPORT. OVER.",alpha
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. THE AREA SEEM TO BE CLEAR. OVER.",alpha
STRM_Reastdead2,"ALPHA BLACK TO PAPA BEAR. WE GOT THE KVILDA. OVER.",alpha

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq
STRM_Rhqcopy2,"PAPA BEAR TO ALPHA BLACK. GOOD WORK. OVER.",hq

STRD_Rmissname,"Kvilda Spoon",missionname
STRL_Rload,"Go for Kvilda",loadname
