LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rassault,"ALPHA BLACK TO BRAVO. ASSAULT IS GO. OVER.",alpha
STRM_Rgotank,"ALPHA TO CHARLIE. YOU ARE CLEARED TO ENGAGE. OVER.",alpha
STRM_Reastdead,"ALPHA TO PAPA BEAR. OBJECTIVE HAS BEEN SECURED. OVER.",alpha
STRM_Rrepelled,"ALPHA BLACK TO PAPA BEAR. SEEMS LIKE THEY HAD ENOUGH. OVER.",alpha

STRM_Rbravoready,"BRAVO TO ALPHA. WE ARE IN POSITION AND READY TO ATTACK. OVER.",bravo
STRM_Rsweepcop,"BRAVO BLACK TO ALPHA BLACK. OUR SWEEP HAS BEEN COMPLETED. SETTING UP DEFENSIVE POSITIONS. OVER.",bravo

STRM_Rdefend,"THIS IS PAPA BEAR. COPY THAT ALPHA. SET UP DEFENSES AS YOU MIGHT GET SOME RUSSIAN COMPANY. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. GOOD JOB. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Maritime Light",missionname
STRL_Rload,"Beach City",loadname
