LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rgetready,"ALPHA BLACK TO BRAVO, DELTA AND FOXTROT. STAY SHARP AND LOOKOUT FOR RUSSIANS. OVER.",alpha
STRM_Reastdead,"ALPHA BLACK TO ALL FORCES. SEEMS LIKE THEY HAD ENOUGH. GOOD JOB. MISSION ACCOMPLISHED. OVER.",alpha

STRM_Rbravook,"THIS IS BRAVO. COPY. OVER.",bravo

STRM_Rcharlieok,"CHARLIE ACKNOWLEDGES. WE ARE HOLDING OF ENEMY TANKS. OVER.",charlie

STRM_Rdeltaok,"DELTA TO ALPHA. WILL DO. AIRSPACE IS COVERED. OVER.",delta

STRM_Rechook,"THIS IS ECHO SNIPER. SCANNING FOR TARGETS. OVER.",echo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. OVER.",hq

STRD_Rmissname,"Copper Harbor",missionname
STRL_Rload,"Defend the just captured city",loadname
