LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcityempty,"PAPA BEAR, THIS IS BRAVO BLACK ONE. THE CITY IS EMPTY, I REPEAT THE CITY IS EMPTY. ALL RUSSIANS HAVE BAILED. THEY LEFT SOME AMMO AND VEHICLES BEHIND. WAITING FOR FURTHER ORDERS. OVER.",what next call
STRM_Rsatchels,"ROGER PAPA BEAR. THERE ARE SOME SATCHEL CHARGES IN AMMO BOX. OVER.",satchels please
STRM_Ryessir,"COPY THAT, IT WILL BE OUR PLEASURE. STARTING TO LAY SOME SATCHELS. WE'LL RADIO IN AGAIN WHEN THE RUSSIANS ARRIVE. OVER.",yes sir laying charges
STRM_Rchicken,"PAPA BEAR. THIS IS BRAVO BLACK ONE. THE CHICKEN IS IN THE POT, I REPEAT THE CHICKEN IS IN THE POT. OVER.",chicken
STRM_Rdead,"PAPA BEAR THIS IS BRAVO BLACK ONE. ALL RUSKIES ARE MEDIUM RARE. OVER.",deadmeat

STRM_Rhqorders1,"BRAVO BLACK ONE, THIS IS PAPA BEAR. RECEIVED, STAND BY. OVER.",hq thinks
STRM_Rhqorders2,"DID THE RUSSIANS LEFT ANY SATCHEL CHARGES. OVER.",hq asks
STRM_Rhqorders3,"THERE MUST BE RUSSIAN REINFORCEMENTS COMING SOON. SET THE SATCHELS IN THE CITY AND POSITION YOURSELF FOR GOOD AMBUSH. OVER.",hq ordering satchels
STRM_Rcookit,"BRAVO BLACK ONE. COOK IT. OVER.",cook it
